127.0.0.1 - - [16/Jun/2015:19:23:35 +0300] "GET /api/v1/users.json HTTP/1.1" 200 18 0.0069
127.0.0.1 - - [16/Jun/2015:19:23:39 +0300] "GET / HTTP/1.1" 200 12 0.0007
127.0.0.1 - - [16/Jun/2015:19:29:09 +0300] "GET /__sinatra__/500.png HTTP/1.1" 200 24378 0.0046
127.0.0.1 - - [16/Jun/2015:19:29:10 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0008
127.0.0.1 - - [16/Jun/2015:19:29:10 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:29:10 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [16/Jun/2015:19:29:40 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [16/Jun/2015:19:29:49 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0029
127.0.0.1 - - [16/Jun/2015:19:29:49 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:29:50 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:29:50 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:29:50 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:29:50 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:30:15 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [16/Jun/2015:19:30:16 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0009
127.0.0.1 - - [16/Jun/2015:19:30:16 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [16/Jun/2015:19:30:16 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [16/Jun/2015:19:30:16 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0008
127.0.0.1 - - [16/Jun/2015:19:30:25 +0300] "GET /__sinatra__/500.png HTTP/1.1" 304 - 0.0044
